Regime,Total Periods,Frequency (%),Avg Duration (days),Max Duration (days),Number of Occurrences
Bear,686,26.40492686682063,6.533333333333333,27,105
Bull,1533,59.00692840646651,13.21551724137931,80,116
Sideways,379,14.588144726712857,4.458823529411765,34,85
