Config_ID,Score,CAGR%,Sharpe,Sortino,MaxDD%,Calmar,Volatility%,WinRate%,BestRebalance,Regime_Diversity,N_Regimes_Used,Regime_Changes,Avg_Duration,Degradation%,Test_LogL,Test_BIC,n_stocks,n_indices,vol_window,Features,Regimes,Decision
36,687.1066528597215,14.605156725839286,0.7811831630602414,1.074185734614357,-25.406541385992487,0.574858124289661,16.7203130824162,53.929121725731896,monthly,0.7801482685950296,3,160,8.06832298136646,0.7506824641640035,-5582.713756321975,16155.295124246688,10,3,10,Ret+Vol,Sideways|Bull|Bull,○ ACCEPTABLE
44,714.98102431968,14.052432317342411,0.7526392850918018,1.0336496610577086,-25.478938740156572,0.5515313043708059,16.70876478838121,54.01234567901234,monthly,0.7879657795643883,3,107,12.00925925925926,-0.5423657903397631,-9352.376312724027,25714.870007709535,10,3,20,Ret+Vol+Mom,Bull|Bull|Sideways,○ ACCEPTABLE
39,722.8789117515867,12.872285075979173,0.7591301581178221,1.0638735799050456,-24.204084227432844,0.5318228508472037,14.799055987113183,53.97070161912105,monthly,0.7759657765696155,3,174,7.417142857142857,-0.40870185180115054,-10700.027848464966,28410.926836454157,10,3,10,Ret+Vol+RSI,Bull|Sideways|Sideways,○ ACCEPTABLE
45,745.9885661936146,13.96611267975123,0.7523696802617088,1.0339575918053183,-25.559795494546282,0.5464094062384495,16.58698903889325,54.089506172839506,monthly,0.8176228347336539,3,139,9.264285714285714,1.8377362338245669,-10527.495512892625,28065.108408046734,10,3,20,Ret+Vol+RSI,Bull|Bull|Sideways,○ ACCEPTABLE
46,749.7467953043349,14.010920223118273,0.779428096075014,1.0774420928962096,-25.38841627114776,0.5518627106741095,15.923521700105681,54.39814814814815,monthly,0.7512672263863952,3,361,3.5828729281767955,-0.2986020305011634,902.3887153473044,4667.75426274314,10,3,20,Ret+Vol+MB,Bull|Bull|Bear,○ ACCEPTABLE
38,761.1385886957684,14.620745253049083,0.7810051086832556,1.0731176307917956,-25.44576563579801,0.5745846072118221,16.74741095400775,54.00616332819723,monthly,0.762708447929603,3,148,8.718120805369127,-2.911886240793425,-9351.399008325197,25714.42233295424,10,3,10,Ret+Vol+Mom,Sideways|Bull|Bull,○ ACCEPTABLE
43,764.7845088788406,12.598475010673882,0.7490965691095749,1.05295685278665,-23.78917288068364,0.5295886104936253,14.641648094335984,54.166666666666664,monthly,0.763284518353197,3,105,12.235849056603774,-1.5553163818137166,-12236.880985596614,33849.256384279135,10,3,20,Ret+Vol+RSI+Mom,Sideways|Sideways|Bull,○ ACCEPTABLE
42,786.2468353070783,14.341341816682096,0.757856068539485,1.038786809850194,-25.4250966192304,0.5640624313629924,16.990676818215583,53.93518518518518,monthly,0.8307752353995015,3,126,10.21259842519685,5.502368282277432,-5523.114725424656,16035.024643133558,10,3,20,Ret+Vol,Bull|Bull|Bull,○ ACCEPTABLE
6,789.5617061623773,13.774878631133959,0.7947018870370657,1.1219905038377318,-23.269076970869193,0.5919821679381128,15.217237857961322,54.24382716049383,weekly,0.8086253919529967,3,120,10.71900826446281,-3.5620934480922393,-16590.906691151966,35783.7281162108,7,0,20,Ret+Vol,Sideways|Bull|Bull,○ ACCEPTABLE
0,791.2504373633265,14.878548162896156,0.7852547574688418,1.07673300349324,-25.425096619230438,0.5851914109007817,16.996849701703933,54.00616332819723,regime_change,0.8060048965305272,3,175,7.380681818181818,-3.416975903987323,-16735.65173340038,36073.777522852186,7,0,10,Ret+Vol,Bull|Bull|Bull,○ ACCEPTABLE
