Config_ID,Score,CAGR%,Sharpe,Sortino,MaxDD%,Calmar,Volatility%,WinRate%,BestRebalance,Regime_Diversity,N_Regimes_Used,Regime_Changes,Avg_Duration,Degradation%,Test_LogL,Test_BIC,n_stocks,n_indices,vol_window,Features,Regimes,Decision
54,247.63283925910355,12.391296209449498,0.7396628825739633,1.067334490135061,-22.636267529622632,0.5474089839782024,14.561560163557685,54.621848739495796,quarterly,0.7806745860090238,3,184,7.081081081081081,-0.6181856547040997,-5808.357075546966,16626.80627759818,10,3,10,Ret+Vol,Sideways|Bull|Bear,○ ACCEPTABLE
57,283.7674907154966,12.324440335610799,0.7365648617500202,1.062658210790547,-22.60027233100113,0.5453226472278027,14.53701279522959,54.54545454545454,quarterly,0.7730097375362615,3,179,7.277777777777778,-0.7934564618485969,-10542.721712942648,28119.67019375659,10,3,10,Ret+Vol+RSI,Sideways|Bear|Bull,○ ACCEPTABLE
71,284.3132601567817,12.068114329932179,0.7331169026414992,1.0535663646086777,-23.181712848701526,0.520587689473004,14.23498630849852,54.406130268199234,monthly,0.7263426048593716,3,262,4.965779467680608,-0.6826680138996446,-6306.953996507549,24014.5449213451,10,3,30,Ret+Vol+RSI+Mom+MB,Bear|Sideways|Bull,○ ACCEPTABLE
62,309.0690360072371,11.970055284643522,0.728146339735375,1.049118970442922,-22.610197430385178,0.5294095870457689,14.205720943059971,54.47589900535578,quarterly,0.8233897080652757,3,118,10.991596638655462,-2.3984597734613855,-9392.297724093487,25817.324889563773,10,3,20,Ret+Vol+Mom,Bull|Sideways|Bear,○ ACCEPTABLE
67,312.1781413730826,11.798710235251185,0.7145186436099094,1.0288825580533598,-22.517375357497503,0.5239824823243721,14.275913080891636,54.48275862068965,quarterly,0.7836755697775655,3,105,12.320754716981131,-1.147012277445192,-12336.252215906312,34071.39327769828,10,3,30,Ret+Vol+RSI+Mom,Bull|Sideways|Bear,○ ACCEPTABLE
63,312.18450987051324,11.973762649378239,0.7273610629404954,1.048498028334456,-22.481780044395858,0.5325985142516771,14.230307770732125,54.322876817138486,quarterly,0.8154980165001016,3,131,9.909090909090908,2.2113599394452264,-10634.083262941023,28300.895967258846,10,3,20,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
61,316.3211196993422,12.287058845172293,0.7329082133409851,1.0561209415946595,-22.675899333660933,0.541855415054385,14.571059642357815,54.934965570007655,quarterly,0.763053902714443,3,111,11.678571428571429,-1.4478765902485953,-12387.046073959318,34174.9855848611,10,3,20,Ret+Vol+RSI+Mom,Sideways|Bear|Bull,○ ACCEPTABLE
60,325.6383136470872,11.928203528686442,0.7316395962987553,1.0555493982163904,-22.43735630010369,0.5316225035224547,14.0581634970259,54.24636572302985,quarterly,0.8443067348359358,3,135,9.617647058823529,4.551430809228094,-5594.136006366884,16197.297676081736,10,3,20,Ret+Vol,Bull|Sideways|Bear,○ ACCEPTABLE
29,338.61844611896305,12.237514883060975,0.7306502941178575,1.0530743317286568,-22.72939992965425,0.5384002622565991,14.551582295096132,54.781943381790356,quarterly,0.7417990140284177,3,245,5.317073170731708,0.6121720304920352,-18553.70106712778,47821.55015055715,7,3,20,Ret+Vol+RSI+Mom+MB,Bear|Sideways|Bull,○ ACCEPTABLE
20,341.45536040029197,12.246735546780263,0.7294728462006043,1.051298964723824,-22.667376858674558,0.5402802284152951,14.595015123147236,54.77463712757831,quarterly,0.7546596501953404,3,160,8.136645962732919,0.5311242617944353,-21884.385437334924,50264.6639613265,7,3,10,Ret+Vol+Mom,Sideways|Bear|Bull,○ ACCEPTABLE
