Config_ID,Score,CAGR%,Sharpe,Sortino,MaxDD%,Calmar,Volatility%,WinRate%,BestRebalance,Regime_Diversity,N_Regimes_Used,Regime_Changes,Avg_Duration,Degradation%,Test_LogL,Test_BIC,n_stocks,n_indices,vol_window,Features,Regimes,Decision
1860,746.8146080939885,9.171051994420854,0.6082951273483247,0.8798484578047622,-25.547789147878518,0.3589763459114197,12.457518580649307,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913686923780918,-5567.4224058179625,16124.712423238663,12,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
1848,746.8146104892882,9.17104800495483,0.6082949535338023,0.8798478215863458,-25.547794091069832,0.35897612029684184,12.457515489639285,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913648317384111,-5567.422192273084,16124.711996148904,12,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
1320,746.8146441461909,9.171044827462937,0.6082947204840955,0.8798481116382075,-25.547796329268785,0.3589759644731529,12.457515458106974,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913646242776917,-5567.42218095023,16124.711973503196,10,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
1296,746.8146498458864,9.17105022713507,0.608295105461904,0.8798482351413811,-25.547793621618524,0.3589762138744746,12.45751578506064,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913686635536787,-5567.422404092903,16124.712419788542,10,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
2376,746.8147183757227,9.171048179425178,0.6082948158757435,0.87984817824278,-25.547796777911287,0.35897608937278297,12.457519352914732,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913695642938466,-5567.422453880246,16124.712519363231,15,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
1836,746.8148152435601,9.171043613926333,0.6082946279330269,0.879847499739593,-25.547788224038147,0.35897603086036284,12.457515541409345,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913724196875883,-5567.42261183909,16124.712835280916,12,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
2388,746.8148619912591,9.171046342562095,0.608294788881573,0.8798479078297897,-25.547789280279957,0.35897612282410357,12.457516557392777,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.691376492116973,-5567.422837020784,16124.713285644306,15,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
3456,746.814993635401,9.171057995737897,0.6082956291827627,0.8798484617918123,-25.54778977209246,0.3589765720460112,12.457517027924773,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913899798198563,-5567.423582964401,16124.714777531539,20,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
2400,746.8153161835967,9.171050109802902,0.608295168582139,0.8798485367084982,-25.547797394122696,0.3589761562737583,12.45751392818177,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913993609671182,-5567.424101595088,16124.715814792915,15,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
346F8,746.8153585539026,9.17104748348092,0.6082948405289106,0.8798475541810744,-25.54779456210791,0.3589760932665113,12.457517403621678,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6913983775098619,-5567.424047130012,16124.71570586276,20,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
3480,746.8155132381295,9.171051905849016,0.6082952298418656,0.8798486780578684,-25.547795642979505,0.3589762511807631,12.457515769722692,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.691409877572279,-5567.42468291608,16124.716977434899,20,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
2916,746.8155400811893,9.171048266435067,0.6082948645921775,0.8798481371029034,-25.54779298076394,0.3589761461328716,12.457518264617956,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.691408405316685,-5567.42460173097,16124.716815064676,18,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
1308,746.8157232044003,9.171052985570082,0.6082951698632159,0.8798483454701672,-25.547792788981184,0.3589763335455569,12.457519360737233,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6914198229262225,-5567.425232867539,16124.718077337817,10,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
2928,746.8159439720375,9.171048477254029,0.6082949093197586,0.8798477113085865,-25.54779317004503,0.3589761517251967,12.457517518823947,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6914265343737004,-5567.425603848106,16124.718819298949,18,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
2940,746.8160087083626,9.171055174742726,0.6082954366582772,0.8798485493135635,-25.547792012771847,0.35897643014151415,12.457516634496601,53.46687211093991,monthly,0.778573270341994,3,164,7.872727272727273,0.6914350537397393,-5567.426075117868,16124.719761838474,18,3,10,Ret+Vol,Bear|Sideways|Bull,○ ACCEPTABLE
1323,765.6827814696348,9.861966959921919,0.6460033926067452,0.9417330061354114,-25.849426622609155,0.38151588829812444,12.768673466977583,53.81649961449499,monthly,0.7765088193851168,3,174,7.417142857142857,-0.4355281535710828,-10684.922638712023,28380.71641694827,10,3,10,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
1839,765.6828148475539,9.861959027672462,0.646002714131927,0.9417318424614342,-25.84943752346759,0.38151542054712856,12.768676259052135,53.81649961449499,monthly,0.7765088193851168,3,174,7.417142857142857,-0.43552051848800954,-10684.923458144027,28380.718055812278,12,3,10,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
2391,765.6830396168704,9.86195704013284,0.6460024988698339,0.9417314596486277,-25.849440799065746,0.38151529531305267,12.768678050500359,53.81649961449499,monthly,0.7765088193851168,3,174,7.417142857142857,-0.4355286271379184,-10684.922587988724,28380.716315501675,15,3,10,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
3459,765.6830921773824,9.861960355400479,0.6460028596545924,0.9417320157789008,-25.849445219558753,0.38151535832337763,12.76867499463276,53.81649961449499,monthly,0.7765088193851168,3,174,7.417142857142857,-0.435533503145113,-10684.922064700104,28380.715268924432,20,3,10,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
2931,765.6835125088201,9.861959651413631,0.6460027002875575,0.9417314368902462,-25.849440830288746,0.3815153958710786,12.768677692506941,53.81649961449499,monthly,0.7765088193851168,3,174,7.417142857142857,-0.4355529294223761,-10684.919980059396,28380.71109964302,18,3,10,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
