Config_ID,Score,CAGR%,Sharpe,Sortino,MaxDD%,Calmar,Volatility%,WinRate%,BestRebalance,Regime_Diversity,N_Regimes_Used,Regime_Changes,Avg_Duration,Degradation%,Test_LogL,Test_BIC,n_stocks,n_indices,vol_window,Features,Regimes,Decision
54,693.8522162407766,12.391300874404699,0.7396634175310712,1.0379189776150122,-22.63629580823068,0.5474085062052932,14.56155408139795,54.621848739495796,quarterly,0.7806745860090238,3,184,7.081081081081081,-0.6181207400725373,-5808.360869368244,16612.458300408343,10,3,10,Ret+Vol,Sideways|Bull|Bear,○ ACCEPTABLE
57,730.0714340239363,12.32443846913851,0.7365645900722076,1.0309384323314255,-22.60026422493253,0.5453227602331406,14.537016650688662,54.54545454545454,quarterly,0.7730097375362615,3,179,7.277777777777778,-0.7934718662255125,-10542.720076072143,28105.31135518319,10,3,10,Ret+Vol+RSI,Sideways|Bear|Bull,○ ACCEPTABLE
71,730.3034769372505,12.068104503710897,0.7331167692386236,1.0305170967374653,-23.181716587037528,0.520587181643787,14.234974664292174,54.406130268199234,monthly,0.7263426048593716,3,262,4.965779467680608,-0.6826014988617177,-6306.958220055236,24000.2039198208,10,3,30,Ret+Vol+RSI+Mom+MB,Bear|Sideways|Bull,○ ACCEPTABLE
62,755.1635693492533,11.970059005727496,0.7281469651609164,1.0231896248985604,-22.61020616766331,0.5294095470410548,14.205711453564865,54.47589900535578,quarterly,0.8233897080652757,3,118,10.991596638655462,-2.3984298379036537,-9392.300604611699,25802.978141536165,10,3,20,Ret+Vol+Mom,Bull|Sideways|Bear,○ ACCEPTABLE
63,758.2571585552108,11.973766329374236,0.7273612645429014,1.0231937603520134,-22.48178198061182,0.532598632070196,14.230308491086943,54.322876817138486,quarterly,0.8154980165001016,3,131,9.909090909090908,2.2113599968208306,-10634.083268913406,28286.54347013958,10,3,20,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
67,758.2854587729964,11.7987065229197,0.7145187685790383,1.0026299606500688,-22.517387367670953,0.5239820379809933,14.275904148701002,54.48275862068965,quarterly,0.7836755697775655,3,105,12.320754716981131,-1.1470321028449002,-12336.249742201242,34057.038881668464,10,3,30,Ret+Vol+RSI+Mom,Bull|Sideways|Bear,○ ACCEPTABLE
61,762.5743367350354,12.287060044677812,0.7329083606015292,1.0257921203192886,-22.67587253014984,0.5418561084404112,14.571057802780157,54.934965570007655,quarterly,0.763053902714443,3,111,11.678571428571429,-1.4478668450805356,-12387.047298716374,34160.63552531117,10,3,20,Ret+Vol+RSI+Mom,Sideways|Bear|Bull,○ ACCEPTABLE
60,771.6642390764679,11.928209211610351,0.7316397252612498,1.0315265530579099,-22.43734527618678,0.5316230179989256,14.058169019114597,54.24636572302985,quarterly,0.8443067348359358,3,135,9.617647058823529,4.551406875074717,-5594.134726251133,16182.942606786197,10,3,20,Ret+Vol,Bull|Sideways|Bear,○ ACCEPTABLE
29,784.8984883791491,12.237517180127334,0.7306507378226281,1.0220098302957603,-22.729408127424232,0.5384001691342821,14.551574762390928,54.781943381790356,quarterly,0.7417990140284177,3,245,5.317073170731708,0.6121720299839342,-18553.70106708779,47807.19764141314,7,3,20,Ret+Vol+RSI+Mom+MB,Bear|Sideways|Bull,○ ACCEPTABLE
20,787.7607209646155,12.246741468922329,0.7294729108697992,1.019531275029548,-22.667388915573312,0.5402802023001588,14.59502255908052,54.77463712757831,quarterly,0.7546596501953404,3,160,8.136645962732919,0.5311242616249658,-21884.38543729867,50250.308396421606,7,3,10,Ret+Vol+Mom,Sideways|Bear|Bull,○ ACCEPTABLE
56,802.7977495486055,12.378862198709495,0.737627409932414,1.0342692560218647,-22.76290656916529,0.5438172915702226,14.592994277533277,54.77463712757831,quarterly,0.7810039664554614,3,156,8.343949044585987,-4.492103977787798,-9556.565192460286,26133.001587959476,10,3,10,Ret+Vol+Mom,Sideways|Bull|Bear,○ ACCEPTABLE
55,803.7443147730518,12.357843346317798,0.7325976221064564,1.0233770665001594,-22.90342392445214,0.5395631407374127,14.686359327705533,54.85103132161956,quarterly,0.772671155493467,3,160,8.136645962732919,-3.3531819663695117,-12610.189671426955,34608.91874323723,10,3,10,Ret+Vol+RSI+Mom,Sideways|Bull|Bear,○ ACCEPTABLE
26,807.253983278528,12.058039267853871,0.7274756630010181,1.0207945573788362,-22.50905768267979,0.5356972041140691,14.35637201953169,54.552410099464424,quarterly,0.8036311192339328,3,111,11.678571428571429,1.7131544144956892,-21875.622815005798,50231.40347242307,7,3,20,Ret+Vol+Mom,Sideways|Bull|Bear,○ ACCEPTABLE
18,808.6618277791006,12.372978674890112,0.7399345824380221,1.0386654442384955,-22.63628378133154,0.5465993797574795,14.52756344610146,54.621848739495796,quarterly,0.785257993225642,3,184,7.081081081081081,2.934476635067861,-18390.627539932677,41324.79134931691,7,3,10,Ret+Vol,Sideways|Bull|Bear,○ ACCEPTABLE
23,809.7106426678338,12.283326211483047,0.7305936674189306,1.0205244667643643,-22.812737897023787,0.5384415613298904,14.622747702287436,54.85103132161956,quarterly,0.7395248593106585,3,281,4.6453900709219855,-0.6748282823533374,-18449.729817342057,47601.533217231154,7,3,10,Ret+Vol+RSI+Mom+MB,Bull|Sideways|Bear,○ ACCEPTABLE
69,810.812988184829,11.66583772249059,0.7089143271319932,0.9957009648678746,-22.423749445524933,0.5202447409979745,14.207077998186824,54.17624521072797,quarterly,0.8247923246732511,3,130,9.969465648854962,4.518471821318966,-10681.4228528483,28379.726080716577,10,3,30,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
19,813.0618859063483,12.287836468182856,0.729766019927951,1.0179276797999974,-22.82627589675899,0.5383198084417947,14.650583413992338,54.85103132161956,quarterly,0.7472238281696498,3,154,8.451612903225806,0.6075511089205214,-24909.29634612127,58582.66502241688,7,3,10,Ret+Vol+RSI+Mom,Bull|Sideways|Bear,○ ACCEPTABLE
12,815.8501938342989,12.29749830209943,0.7291786877385622,1.0183363999116168,-22.524492143353903,0.5459611796720549,14.67954069787811,54.78927203065134,quarterly,0.8085842062503977,3,109,11.872727272727273,-4.029995584228793,-16635.656647649208,35875.738219769024,7,0,30,Ret+Vol,Sideways|Bull|Bear,○ ACCEPTABLE
