Date,stock_AAPL,stock_MSFT,stock_AMZN,resource_XOM,resource_CVX,resource_BP,resource_COP,resource_SLB,stock_AAPL_vol,stock_MSFT_vol,stock_AAPL_momentum,stock_MSFT_momentum
2000-02-14,0.06292064957043313,-0.0031321454968825236,-0.023237585455181464,0.034098710774729535,-0.002537485258409845,0.017276110928219887,0.0049952568779224995,0.034685184997567904,0.03858607418283101,0.03703690198917765,0.11626496930855956,0.017879985909474705
2000-02-15,0.027151494691553296,-0.01072236671041102,-0.008431753266420013,0.03692231986933075,0.048750131761844534,-0.0013186366724509343,0.016475101655797682,0.07174394095925175,0.03532313411757322,0.03293102268759401,0.18703279883329915,-0.042501546384372535
2000-02-16,-0.04182950870320251,-0.009557258713238353,-0.04325934065242788,0.008631539043541024,0.012446853839730078,0.0388149984615449,0.04108608870465047,0.015267575083803803,0.038922616160592366,0.03249221442537933,0.15496542052698792,-0.03161837377468779
2000-02-17,0.006550819940457078,0.02027962542364936,-0.02416222196629911,-0.026921804027641563,-0.0008035025610436585,-0.007643500168920089,0.0,0.013170963522005079,0.0374825804495305,0.031805154885763146,0.11191803593164917,-0.038600377082914195
2000-02-18,-0.03206469189816168,-0.04687827988450348,-0.06357283256754004,-0.03761706143237111,-0.02030088869316721,-0.0417815642138936,-0.019170051117208348,-0.005623280609409196,0.037625639532592334,0.03226828729021785,0.030092616447015663,-0.1079173993945648
2000-02-22,0.0227721595972403,-0.013237235142868837,-0.018510042049759392,0.005816106326035813,-0.006584441593865891,-0.03252341459203811,0.008031842081694133,-0.015188312907723852,0.0339352491109606,0.03199170533101829,-0.0021915798311092916,-0.12016462124918781
2000-02-23,0.021190076366336776,0.0046536562475330695,0.10270212092007155,-0.010828554715338029,-0.03273550621097232,-0.000932833867683483,-0.03915671086030779,-0.012518012904184795,0.034559716999992586,0.028993194307261706,0.011968601365645481,-0.14269409232871488
2000-02-24,-0.009045965603114778,0.005290875327870277,-0.028804844710578325,-0.024587403675568532,-0.02505497356921834,-0.031031377062307762,-0.03556663167366,0.059255580490216446,0.03399803796596087,0.02584901135698571,0.0228915759599031,-0.08894155638866819
2000-02-25,-0.04281291809477609,-0.03695423885608643,0.009995526035305267,-0.024328247087675177,-0.005262813841929111,0.017045528877069584,0.01709450483263387,-0.0212281004582355,0.036741000317072545,0.0250761972852934,-0.027533544745144578,-0.13856132624312612
2000-02-28,0.025714407447303276,0.0027335592680447097,-0.05005680399735648,0.03372565417594504,0.048077526845683734,0.03188104859191999,0.006756474875270683,0.033030496521504034,0.03479491030279272,0.020157374420374487,0.04137975701304453,-0.08380294192025473
2000-02-29,0.01206841385023548,-0.024180506545815175,0.046433597731407254,0.02436009222928522,0.0016749738371429884,0.02691869535748942,0.026580155559477257,0.06443941040348268,0.028356053247108902,0.02059939146439369,-0.010252790507343068,-0.10288585187588051
2000-03-01,0.1282686286829554,0.01595586496193912,-0.044534218441620345,0.009909406816943031,0.00750351836756678,0.011881203870007793,0.014645758097315846,0.04245423495914861,0.04959634684551125,0.02227795305603187,0.09506248063940914,-0.07863032409550175
2000-03-02,-0.06591346037936557,0.02782711439796167,-0.051592979506662064,0.012249771301784316,0.0057972745717262495,0.006540946650600224,-0.016287524982481302,0.057519012408086004,0.052823049419316405,0.02499405130051535,0.06900410268684265,-0.04353354836262402
2000-03-03,0.048008490196218445,0.02902560182502944,-0.0009994850895379132,-0.017192598278430254,-0.014975766776435926,-0.009168653906438945,0.001641766885165265,-0.03744564452013188,0.054415302083376256,0.02608480287245748,0.11425401946394231,-0.03513162740332254
2000-03-06,-0.018231664948125573,-0.05891914520225198,0.022739516800943677,-0.03700990797235351,-0.007572699758059021,-0.0066002910494974655,0.009787559415636497,-0.016026053178417217,0.05336981480650279,0.028474202477341896,0.12977462633933845,-0.04667981293047907
2000-03-07,-0.022631111231791456,0.024523740471743796,-0.006866182663146764,0.09242454633938466,0.09038416452157808,0.07155000294523771,0.05064386534975282,0.06033961213326825,0.054293941970747196,0.029705313305637943,0.07962622825504173,-0.009993210804745578
2000-03-08,-0.007145714016301491,0.028525963896527628,0.001966613968508252,-0.00469962077595466,0.0007713987763377276,0.044612454457103184,-0.0015442264079824845,-0.06438692684280514,0.05424883831987691,0.03113534672221882,0.049463525916929596,0.013924890099175968
2000-03-09,0.0020466345563313463,0.045390041129354096,0.0783788957752103,0.010152886886060308,0.026627786504811925,-0.0023612097695928217,-0.004647460780939592,-0.005693064619527071,0.05404666153676014,0.03413250584292235,0.0611696106185835,0.055408605088075324
2000-03-10,0.028227586896802694,0.00995062516433209,-0.0285601954077007,-0.043269467911588186,-0.03514483937717587,0.009411814023122442,-0.012500369332745346,0.0008153523058277786,0.051537462948510394,0.030718700571442253,0.1392979177401259,0.1060917534367034
2000-03-13,-0.035926077548121244,-0.030153747954875892,-0.023641763057040424,-0.01512385568739905,-0.007023257606303498,-0.034547574889772996,-0.007892374969321042,0.014563144350867103,0.05350204827942405,0.03324921051666049,0.07119165609578681,0.07030703096908875
2000-03-14,-0.059981197164660306,-0.029775399977328514,0.0047732787526575905,0.017959452714488837,0.037653602639281934,-0.00852137924516542,0.0,-0.02028478582986238,0.057432279453304695,0.03386963059250653,-0.003272518556246884,0.0643354978147781
2000-03-15,0.017353947356409997,0.0026248663251780776,-0.028987536873252298,0.00645207276565509,0.012738562412073386,0.03128947899341503,0.014161914987255188,-0.03164304838409177,0.03686552006508606,0.033706469773935564,-0.10791384637308732,0.050240998354560196
