Config_ID,Score,Degradation%,Test_LogL,Test_BIC,Avg_Duration,Regime_Changes,n_stocks,n_indices,vol_window,Features,Regimes,Decision
14,116.83431933571903,8.818072254556192,-12797.253689521041,28653.596790157113,6.646017699115045,112,7,0,20,Ret+Vol+Mom,Bull|Bull|Bull,✅ READY FOR PORTFOLIO
2,117.30248107323469,9.293434416765631,-10982.283326993993,24368.136905578365,7.152380952380953,104,5,0,20,Ret+Vol+Mom,Bull|Bull|Bull,✅ READY FOR PORTFOLIO
12,119.34570904870965,9.493284368299951,-11004.647557059876,24412.86536571013,6.310924369747899,118,7,0,20,Ret+Vol,Bull|Sideways|Bull,✅ READY FOR PORTFOLIO
15,121.23886206904444,9.230583909950306,-12936.96677921318,28933.02296954139,6.889908256880734,108,7,0,20,Ret+Vol+RSI,Bull|Bull|Bull,✅ READY FOR PORTFOLIO
0,121.70466906692073,10.17013052265478,-9087.927940243011,20003.363840372924,8.632183908045977,86,5,0,20,Ret+Vol,Sideways|Bull|Bull,⚠️ USE WITH CAUTION
3,123.67120292385806,9.899830017924243,-11134.666246512625,24672.90274461563,7.435643564356436,100,5,0,20,Ret+Vol+RSI,Bull|Bull|Bull,✅ READY FOR PORTFOLIO
13,128.59230901592628,9.632266583204437,-14237.788872710524,32269.643183881897,7.51,99,7,0,20,Ret+Vol+RSI+Mom,Bull|Bull|Bull,✅ READY FOR PORTFOLIO
1,128.69109711186601,10.078339765616331,-12424.305022293831,27907.699455702692,8.632183908045977,86,5,0,20,Ret+Vol+RSI+Mom,Bull|Bull|Bull,⚠️ USE WITH CAUTION
18,203.98397877973113,17.663564501801122,-11578.491992076608,27348.333761719914,8.534090909090908,87,7,3,20,Ret+Vol,Bull|Bull|Bull,⚠️ USE WITH CAUTION
6,211.72521073307993,18.871654394319744,-9796.010736786095,23008.66678988248,9.048192771084338,82,5,3,20,Ret+Vol,Bull|Bull|Sideways,⚠️ USE WITH CAUTION
7,219.90201958401133,18.39470729393958,-14481.37113817631,35954.94664461554,9.271604938271604,80,5,3,20,Ret+Vol+RSI+Mom,Bull|Bull|Bull,⚠️ USE WITH CAUTION
19,222.68810874647644,18.21864138998239,-16208.479272924254,40501.69484665252,7.585858585858586,98,7,3,20,Ret+Vol+RSI+Mom,Bull|Bull|Bull,⚠️ USE WITH CAUTION
