Strategy,Total Return,CAGR,Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Average Drawdown,Recovery Time,Win Rate,Calmar Ratio
Buy & Hold 60/40,0.3278418137840322,0.05654943289297498,0.12291916697742926,0.3481909690149016,0.49934114267752483,-0.28114515415032004,-0.09671556795465337,23.098039215686274,0.5285053929121726,0.2011396321728514
Bond Only 100%,-0.35777257028613274,-0.08231734072118901,0.1598873796011625,-0.5815733974428321,-0.9542139676524357,-0.4545869142464901,-0.27717016421756635,3.0,0.4899845916795069,-0.1810816328878182
Buy Stock and Hold 100%,1.0441717606023246,0.14878548162896177,0.1699684970170393,0.7852547574688438,1.0767330034932425,-0.2542509661923039,-0.06863846406091247,12.11111111111111,0.5400616332819723,0.5851914109007836
Regime-Based (regime_change),0.7150816509932545,0.11032512962534646,0.13757208592721504,0.6861904510332187,0.946824791056349,-0.23558116763860468,-0.06599101595260283,13.011764705882353,0.5400616332819723,0.46831047970095674
Regime-Based (weekly),0.7187116402031624,0.11078063338999367,0.13763090201195782,0.6889306842547596,0.9519925022865275,-0.23559944337326208,-0.0658345925561374,12.848837209302326,0.5400616332819723,0.4702075344655336
Regime-Based (monthly),0.7136093182431495,0.11014015462706706,0.13747675075340554,0.6853609020836112,0.9461785113229195,-0.2360248067577572,-0.06618812096366655,12.67816091954023,0.539291217257319,0.4666465196605746
Regime-Based (quarterly),0.7159073060638979,0.11042880393925047,0.13758750223731867,0.6868105578307648,0.9489013843012257,-0.23661221597967588,-0.06654206652947496,12.837209302325581,0.5400616332819723,0.46670795707663676
