Date,Buy & Hold 60/40,Bond Only 100%,Buy Stock and Hold 100%,Regime-Based (regime_change),Regime-Based (weekly),Regime-Based (monthly),Regime-Based (quarterly)
2015-12-04,99257.5174673392,99034.16359678637,99406.42004770777,97397.61472187898,100921.39642126433,105084.41774759213,105035.23764338194
2015-12-07,99225.00122396163,99995.07518980595,98711.61858006542,96716.85380501719,100216.00602176742,104417.28928254482,104483.22322445354
2015-12-08,98860.34619102605,100044.38065226447,98070.98988353377,96089.17093569522,99565.61399869205,103778.27724519331,103903.95375649378
2015-12-09,98362.23884658152,99937.56717326383,97312.01996212664,95345.53828143376,98795.07720365019,103016.50315039311,103203.79604895037
2015-12-10,98546.26935526828,100069.01289759442,97531.10699371752,95560.19800143181,99017.50317126204,103239.27349891004,103414.35919197851
2015-12-11,98040.43743664217,101645.91909413648,95636.78299831263,93704.1545127486,97094.30924878884,101390.60757207239,101821.70916122303
2015-12-14,97787.6728036729,100331.79781957921,96091.58945973538,94149.77024341686,97556.04706377271,101807.73014199806,102125.4881156341
2015-12-15,98163.34706321268,99740.45185010615,97111.94387195037,95149.50532967175,98591.95190850925,102810.86180300065,103005.02861970119
2015-12-16,98923.68830639767,99526.939613141,98521.5207685688,96530.59749084014,100023.01107653492,104213.88166251537,104270.7728531808
2015-12-17,98484.68271267148,100652.14811862417,97039.70577536969,95078.72702082981,98518.61288696277,102764.68849896257,103015.83939350699
2015-12-18,97671.8485961303,101210.61831688507,95312.6687822938,93386.58999807706,96765.25545865229,101054.16500601504,101489.97050495772
2015-12-21,98106.81732525368,101185.96968283567,96054.04908686568,94112.98848654919,97517.93456711136,101794.60017619237,102163.06467051157
2015-12-22,98322.55610016728,100454.99182366786,96900.93228450022,94942.75786520759,98377.72445663725,102620.32864625394,102872.89597235224
2015-12-23,98742.29566244583,99699.35713609094,98104.25468001574,96121.76351703955,99599.3857582124,103801.67612053148,103905.26007726048
2015-12-24,98876.68410223353,100270.57775808217,97947.42166500111,95968.09978420685,99440.16257250027,103661.21020583087,103810.42601269238
2015-12-28,98867.17016821241,100566.86941697786,97734.03733570213,95759.02752627045,99223.52621765586,103456.35841285154,103640.99300912124
2015-12-29,98822.20803131332,98896.12960723779,98772.92698069703,96776.9232852486,100278.24877632115,104447.18793543358,104446.72699373057
2015-12-30,98354.96491962575,98797.32201768736,98060.06018758468,96078.4621070847,99554.5177316993,103731.73065395761,103789.22740577637
2015-12-31,97978.99992265578,99241.80867218923,97137.12742296682,95174.17997139058,98617.51926255143,102821.79413441962,102986.06895639426
2016-01-04,97371.40213663402,99957.82363050124,95650.56694607007,93717.65991443576,97108.30326703445,101347.57714272382,101678.03255467839
2016-01-05,97331.83153215461,99554.56279977017,95843.03749941551,93906.24102208503,97303.70711523936,101551.51136784848,101858.94362807697
2016-01-06,97086.76262641395,100896.05323580516,94586.01804142402,92674.62341822601,96027.53039578482,100219.62301050578,100636.34279381784
2016-01-07,95788.09610247718,101077.16497442212,92344.28751087314,90478.19378702028,93751.63538382485,97844.37354641946,98385.70226730191
2016-01-08,95353.15905140678,101529.83779428813,91343.4255500323,89497.55724860582,92735.52005983969,96783.89959394698,97392.68136143127
2016-01-11,94967.82565570166,100418.73997624946,91421.3663489049,89573.9230195094,92814.64869415361,96866.48259767093,97435.81276295318
2016-01-12,95967.96825337774,101867.31430515599,92134.70885065196,90272.85029318607,93538.86269731761,97622.31224440744,98199.8694837431
2016-01-13,94954.27398031691,102871.41017392036,89834.52417127785,87992.74201049912,91203.62268205677,95185.12706424204,95916.55320450482
2016-01-14,95495.15540189215,101908.41721353092,91334.39288729732,89085.66562998403,92726.34973727723,96774.32893992403,97395.62380389322
2016-01-15,94909.16616916077,103496.89384600306,89361.6523843851,87675.70218093564,90723.54422194796,94684.09072508734,95460.4702688875
2016-01-19,94813.10435317544,103175.86341510102,89409.17683725926,87685.48240579663,90753.63859966442,94734.44576539301,95498.10081496082
2016-01-20,94597.83995165763,104262.33718216946,88363.63887402783,86959.13379113853,89897.59094230406,93626.63487866834,94480.25873442103
2016-01-21,94602.44283105631,103554.50838922159,88822.72671316312,87258.32901615158,90259.94285531978,94113.06628914062,94919.84996743008
2016-01-22,95548.93896499378,103159.42552949494,90624.38034599333,88636.3079463587,91821.6878559628,96022.027588248,96720.73260262691
2016-01-25,94901.40895841274,103719.10029863524,89207.1979125441,87495.13311409649,90585.2543499693,94520.43684409393,95312.06868872579
2016-01-26,95691.34852506539,103768.51228777018,90468.97445688288,87808.57303107381,91510.68908625061,95857.3656229516,96583.67145101397
2016-01-27,95081.43753701786,103743.83087628188,89486.1662188624,87043.35888997672,90791.8699044468,94816.02068481398,95593.6483523392
2016-01-28,95441.33206158946,103891.95212265055,89980.89739765332,87440.03904244037,91173.46518627995,95340.21837551551,96096.32489325847
2016-01-29,97145.29399109972,104772.59996217483,92208.84398044675,89244.50304666196,92923.01440372606,97700.86291091942,98366.84227949019
2016-02-01,96995.34968457717,104451.8481395034,92167.97364713396,89185.62635850269,92845.77802467586,97636.25121024708,98315.50854852822
2016-02-02,96695.24615969474,106389.61754956523,90440.46094542334,87929.40636756636,91885.69860856092,96204.07668647768,96638.29053122754
2016-02-03,96627.22290700013,105507.32264373645,90891.94324772782,87696.48879018737,92080.93048524128,96551.22412776285,97064.68057356376
2016-02-04,96911.20123972965,106018.60152434757,91030.71093727248,87948.2453657159,92256.85678763184,96714.44107513642,97220.6086156324
2016-02-05,95931.81210822095,106142.27080130021,89348.3499465872,87508.65554735018,91060.61938398647,95192.32379533625,95531.17148894092
2016-02-08,96049.3771892074,108426.35843637194,88083.71915044007,88083.6818519494,90433.96570453675,94206.41450013073,94330.87260106031
2016-02-09,96058.67170446222,108541.84154796044,88025.26500161683,88033.4952553536,90452.69894917228,94161.55911276984,94275.7069530424
2016-02-10,96421.2236613431,109498.36915852776,88008.63260337584,88097.7678238315,90791.86655759963,94215.51318799797,94289.37163359576
2016-02-11,96058.77970919614,110265.23011892638,86926.0241745846,87293.79680934947,90642.95676096668,93285.66503770411,93224.05675833025
2016-02-12,96381.7784357064,108434.63473969305,88622.65062298687,88502.75336543412,90649.05960688289,94697.47245212401,94873.59326633105
2016-02-16,96829.20139181871,107288.40770151815,90086.40029071599,89580.89717249348,90757.59110416641,95946.78028269883,96310.48389185422
2016-02-17,97479.01381812384,106628.81090990498,91571.06373439865,90715.24199533618,91736.53278898625,97250.27050448068,97783.89402857155
2016-02-18,97728.92120618286,107939.90027136441,91143.81936716597,90479.75121337661,91612.90619134263,96956.15312597975,97395.53093367399
2016-02-19,97762.82408988886,108030.6282222271,91141.44662531714,90485.21138592414,91623.9845139099,96960.54712187781,97396.02670874992
2016-02-22,98544.97618456828,107972.89895797244,92458.8230666708,91534.52891173241,92553.73558557426,98155.26933156456,98720.18736177478
2016-02-23,98011.92482134199,108409.92874512558,91307.30650174196,90648.67508391412,91669.03860996701,97138.88671793006,97575.02889518121
2016-02-24,98175.99187036132,108195.53151731026,91712.69147707647,90929.27070083175,91975.30150018628,97492.32545939063,97976.25099865279
2016-02-25,98962.6984431174,108583.06737173123,92753.47235396063,91961.1611030244,92842.00026890278,98467.49078611442,99036.16037971618
2016-02-26,98448.69996012794,107535.84458774012,92580.01274202982,91789.18320383842,92613.3228063046,98233.99054824733,98828.27696043889
2016-02-29,98172.58841343835,108005.7747291846,91828.17264881877,91043.7654185975,92032.94882837546,97583.71404557253,98086.45578837526
2016-03-01,98770.33221097897,106104.03591882864,94020.00018332187,93188.90503920446,94029.19999438043,99417.83824883413,100232.17187911786
2016-03-02,99176.06998270514,106541.90153067361,94404.94709133757,93532.59715756527,94401.72198440152,99782.8878384122,100633.55618914483
2016-03-03,99529.1115252875,106930.19126618918,94735.24551960784,93828.60280363946,94721.71684638388,100098.15045840442,100978.35855907403
2016-03-04,99453.21198835957,106244.47085577632,95048.43003967758,94016.7103329814,94995.19723246401,100226.51349714988,101271.79463711078
2016-03-07,99491.71763878498,106211.43119736967,95132.54924947681,94080.50903706413,95058.27825211849,100285.45186612483,101355.41396217217
2016-03-08,99295.71742578941,107384.59309595694,94063.2490598083,93335.66689725175,94255.38788716895,99658.13884627505,100316.40980859956
2016-03-09,99331.67715384494,106731.91234395071,94538.49358854986,93655.17820511463,94602.43718582131,99915.69864697705,100774.01647525893
2016-03-10,99170.05957729205,106294.04673210574,94553.22315225194,93600.4108457897,94582.04508970492,99856.08988950435,100774.92363013934
2016-03-11,99698.4637733078,105220.06116925647,96103.47057295393,95135.0364318121,95792.8087408917,100867.00347099539,102301.1743409623
2016-03-14,99753.19711197971,105550.49053076179,95982.2866989197,95015.07372700592,95707.23679827197,100827.86991306825,102189.70120796864
2016-03-15,99684.14324003646,105649.65047778033,95805.97283518054,94840.53657709595,95553.50467907578,100709.17561873447,102015.3858380877
2016-03-16,100134.17492107951,105963.55181572262,96342.51996322889,95371.67692270412,96049.2447046286,101170.0184357749,102565.4217036948
2016-03-17,100692.88591387245,106401.40923320787,96977.92166610336,96000.67568613494,96639.3187141718,101726.46931191746,103218.89921744679
2016-03-18,101040.76276952017,106624.46789925134,97405.17183466085,96423.62045710822,97032.85480976503,102089.08295450921,103656.03533019013
2016-03-21,100780.71271229841,105806.58885521188,97501.17215767862,96518.65338540218,97067.54787059323,102030.08052274917,103726.66519268925
2016-03-22,100718.81563289107,105781.83369448608,97415.6258219752,96433.96909965026,96982.38199153473,101960.69784118027,103639.77223466452
2016-03-23,100805.62829473033,106979.7999199575,96793.52655689864,95818.13872542526,96363.04943525093,101679.15920139186,103051.68341545756
2016-03-24,100799.34963697745,107021.05032680745,96756.93179997356,95781.91273366322,96326.61742893729,101657.8688295206,103016.1604866326
2016-03-28,100886.30990503641,107161.52623555376,96809.68904782971,95834.13834702468,96379.14004552198,101720.92199537766,103073.72833226979
2016-03-29,101845.4606282506,108285.13684089077,97663.22636502562,96679.07457339854,97228.88136209063,102555.06071554437,103968.56725234086
2016-03-30,101660.71776912053,107145.01460071016,98088.09218908467,97099.65902689968,97651.85764845503,102695.2312074494,104359.97090910106
2016-03-31,101834.66320604281,107905.05785381852,97888.01609890841,96901.59910237695,97452.67137170404,102665.33653074526,104182.74586302716
2016-04-01,102322.84646571185,108186.49313853483,98507.73682081135,97515.07490199471,98069.63596308792,103147.51817046442,104798.52961820591
2016-04-04,102155.62941495318,108252.76092562177,98191.69224760843,97202.21510820702,97754.99695865622,102836.36156191408,104520.755445714
2016-04-05,102008.49050304282,109436.58368620978,97195.58737311487,96216.14797702144,96763.32213619698,101881.0138798539,103732.33523829831
2016-04-06,102322.63449476317,108641.87829146945,98216.88159994969,97227.15062758412,97780.07428449862,102871.41667628722,104578.11462920348
2016-04-07,102126.78385230331,109983.03275875575,97040.65719263913,96062.779027117,96609.08098835101,101741.84417113248,103642.0630604933
2016-04-08,102020.96230326031,109287.5692546312,97311.06854485717,96330.46544563514,96878.2897198494,101991.4638936969,103822.68783455051
2016-04-11,101803.30121799177,109146.88848689181,97044.45706039215,96066.54060362367,96612.86395666671,101723.86418579819,103570.80579386633
2016-04-12,102082.47448875122,108393.54002567784,97982.11358738727,96994.74837098512,97546.35037335391,102632.54220389218,104345.20245321757
2016-04-13,102831.69913548682,108774.274561528,98965.86744135238,97968.58894280776,98525.7291049061,103616.34487388207,105262.25182465329
2016-04-14,102638.94445517796,108252.76092562177,98982.98134955291,97985.53039425006,98542.76690113712,103619.72677160361,105231.04236729912
2016-04-15,102940.71973549394,109179.96092273734,98885.55390063097,97889.08472119176,98445.77274862738,103547.38442543455,105226.38778881678
2016-04-18,103151.93091542627,108708.10510675775,99532.36680941406,98529.37969987241,99089.70903777359,104175.45080416898,105764.85117572095
2016-04-19,103207.19093884683,108368.67833827563,99839.37291855717,98833.29211015262,99395.34977558564,104470.55665556561,106010.118877826
2016-04-20,102789.12004873477,107176.55469128733,99915.40508156604,98908.5580974756,99471.04379504453,104514.8293015577,105971.91051908054
2016-04-21,102223.73320121175,106539.04169912999,99396.44176902814,98394.82437536627,98954.38850703026,103984.48593605858,105449.14184603629
2016-04-22,102120.20561327285,106265.89091209452,99401.1988553754,98370.01366452337,98959.12443683007,103982.09279508278,105429.0194436728
2016-04-25,101839.20489796341,105827.07475452157,99221.07932255842,98186.7918032468,98769.92798254539,103792.36666555853,105228.1517441047
